,workout_id,date,calories,protein,carbs,fiber,sugars,fats,sat_fats,unsat_fats,chol,sodium,potassium
0,95fa9054-69a0-4dd6-a660-ecb9f7cf54b0,2022-01-30,2647,191,209,13,54,99,44,4,0.264,3.037,1.164
1,ab2e2469-ffcf-4c3b-a6b8-0cd18a3936a0,2022-01-31,2112,171,174,16,109,78,35,24,0.455,2.746,3.517
2,,2022-02-01,2007,126,187,18,69,66,21,14,0.203,2.769,2.583
3,a802b62d-6662-40c7-9a5b-95bb5696c491,2022-02-02,2757,223,212,15,69,97,33,27,0.305,4.338,2.262
4,8d5eb0c6-dd34-4930-b780-7d5fa07d6be6,2022-02-03,2144,183,178,12,25,66,23,7,0.1,2.276,0.973
5,ab8296ee-87a3-448d-8ec4-4df7f4699c93,2022-02-04,2628,216,176,11,45,81,27,6,0.314,2.564,2.572
6,9f953456-f079-431c-92d1-ca4e41b7d3ef,2022-02-07,2683,212,194,8,49,83,27,7,0.379,2.161,2.564
7,,2022-02-08,1962,155,181,10,63,70,22,14,0.195,1.145,2.074
